time,demand(kWh),
0:00,433,
0:30,433,
1:00,426,
1:30,427,
2:00,427,
2:30,429,
3:00,428,
3:30,434,
4:00,430,
4:30,432,
5:00,451,
5:30,415,
6:00,431,
6:30,417,
7:00,472,
7:30,465,
8:00,473,
8:30,461,
9:00,475,
9:30,483,
10:00,474,
10:30,481,
11:00,489,
11:30,471,
12:00,477,
12:30,472,
13:00,471,
13:30,473,
14:00,480,
14:30,466,
15:00,468,
15:30,474,
16:00,468,
16:30,450,
17:00,452,
17:30,436,
18:00,405,
18:30,409,
19:00,401,
19:30,418,
20:00,416,
20:30,431,
21:00,443,
21:30,438,
22:00,421,
22:30,427,
23:00,428,
23:30,429,
