time,demand(kWh)
0:00,600
0:30,600
1:00,600
1:30,600
2:00,500
2:30,500
3:00,500
3:30,500
4:00,400
4:30,400
5:00,862
5:30,862
6:00,948
6:30,948
7:00,948
7:30,948
8:00,738
8:30,738
9:00,948
9:30,948
10:00,948
10:30,948
11:00,1186
11:30,1186
12:00,948
12:30,948
13:00,1186
13:30,1186
14:00,948
14:30,948
15:00,1396
15:30,1396
16:00,1186
16:30,1186
17:00,948
17:30,948
18:00,1186
18:30,1186
19:00,1396
19:30,1396
20:00,738
20:30,738
21:00,948
21:30,948
22:00,738
22:30,738
23:00,476
23:30,476
